ogc_fid,x,y
"246",2.187532,41.429086
"247",2.127777,41.333169
"248",2.187544,41.428186
"249",2.127789,41.332269
"250",2.187555,41.427285
"251",2.127705,41.338573
"252",2.187476,41.433590
"253",2.127717,41.337673
"254",2.187488,41.432689
"255",2.127729,41.336772
"256",2.187499,41.431788
"257",2.187510,41.430888
"258",2.187252,41.451603
"259",2.187263,41.450702
"260",2.187274,41.449802
"261",2.187285,41.448901
"262",2.187207,41.455206
"263",2.187218,41.454305
"264",2.187229,41.453404
"265",2.187240,41.452504
"266",2.187341,41.444398
"267",2.187353,41.443497
"268",2.187364,41.442596
"269",2.187375,41.441696
"270",2.187297,41.448000
"271",2.187308,41.447100
"272",2.187319,41.446199
"273",2.187330,41.445298
"274",2.127272,41.370997
"275",2.187072,41.466014
"276",2.127224,41.374600
"277",2.127236,41.373699
"278",2.127248,41.372799
"279",2.127260,41.371898
"280",2.187162,41.458808
"281",2.187173,41.457908
"282",2.187195,41.456106
"283",2.187117,41.462411
"284",2.187128,41.461510
"285",2.187139,41.460610
"286",2.127080,41.385408
"287",2.187150,41.459709
"288",2.127092,41.384507
"289",2.127104,41.383606
"290",2.127116,41.382706
"291",2.127031,41.389010
"292",2.127043,41.388110
"293",2.127056,41.387209
"294",2.127068,41.386308
"295",2.127176,41.378203
"296",2.127188,41.377302
"297",2.127200,41.376401
"298",2.127212,41.375501
"299",2.127128,41.381805
"300",2.127140,41.380904
"301",2.127152,41.380004
"302",2.127164,41.379103
"303",2.134613,41.358442
"304",2.134625,41.357541
"305",2.134637,41.356641
"306",2.134649,41.355740
"307",2.134565,41.362045
"308",2.134577,41.361144
"309",2.134589,41.360243
"310",2.134601,41.359343
"311",2.134709,41.351237
"312",2.134744,41.348535
"313",2.134673,41.353939
"314",2.134685,41.353038
"315",2.134697,41.352137
"316",2.134422,41.372853
"317",2.134434,41.371952
"318",2.134446,41.371051
"319",2.134458,41.370151
"320",2.134374,41.376455
"321",2.134386,41.375555
"322",2.134398,41.374654
"323",2.134410,41.373753
"324",2.134518,41.365647
"325",2.134530,41.364747
"326",2.134542,41.363846
"327",2.134553,41.362945
"328",2.134470,41.369250
"329",2.134482,41.368349
"330",2.134494,41.367449
"331",2.134506,41.366548
